transaction_id,user_id,Amount,Timestamp,FraudStatus,RiskScore,Location
txn_0092ff5ab7,user_b435372d,842.28,2025-03-05T06:27:00.956234,Legitimate,47,"Grantshire, VA 51014"
txn_739581f0e9,user_1effbdca,252.94,2025-03-01T14:17:03.713103,Legitimate,4,"New Teresafurt, NC 91392"
txn_fccb262f07,user_bcfc3c6e,243.28,2025-03-10T23:35:52.217518,Legitimate,59,"Randolphville, MT 47354"
txn_68486f189a,user_1effbdca,82.66,2025-03-10T19:57:11.842032,Legitimate,14,"New Teresafurt, NC 91392"
txn_b254aacd70,user_291acdd5,442.58,2025-03-04T14:14:23.930243,Legitimate,42,"Ricardoburgh, MS 83469"
txn_f7d5a27772,user_35533990,4330.5,2025-03-12T13:15:03.701539,Fraudulent,100,"West Johnchester, MO"
txn_70a18f2612,user_f4c8a439,235.6,2025-03-03T13:23:39.929255,Legitimate,36,APO AA 51513
txn_7572927a27,user_af91ffbf,213.12,2025-03-04T18:51:22.494406,Legitimate,56,"Cohenstad, AK 32066"
txn_c51ff672dc,user_62c89539,290.66,2025-03-14T05:32:56.175402,Legitimate,62,"Jimmymouth, MT 19751"
txn_a0b62a7ddb,user_189bf4db,733.47,2025-03-11T23:09:05.195799,Legitimate,64,"Port Elizabethport, ME 95423"
txn_cd12acb81c,user_4c3ba68e,347.71,2025-03-01T12:54:51.687670,Legitimate,62,"North Michael, IA 10547"
txn_15cc1da2dc,user_18478c65,730.36,2025-03-02T13:22:12.026177,Legitimate,17,"North Andrew, KY 42634"
txn_48b6eac795,user_7dde70f5,61.57,2025-03-06T05:57:38.416986,Legitimate,8,"Angelaborough, NC 17006"
txn_c4140b3b7f,user_88f45892,170.78,2025-03-08T14:48:03.772943,Legitimate,24,FPO AA 05737
txn_352d21650a,user_4f9219f6,326.8,2025-03-10T10:24:28.569061,Legitimate,47,"Melissaview, WA 08917"
txn_cc0cb54ad5,user_0c9ba5cc,589.91,2025-03-03T03:11:57.763281,Legitimate,11,"West Elizabethside, MT 33435"
txn_b2603bd9d1,user_5d478820,146.72,2025-03-14T18:47:10.066680,Legitimate,6,FPO AP 24527
txn_88dbdfaaa9,user_d56717a1,97.23,2025-03-02T16:49:51.394598,Legitimate,54,"Wallaceland, VT 02896"
txn_027e217e5d,user_5d478820,72.7,2025-03-09T19:54:10.864286,Legitimate,69,FPO AP 24527
txn_2775ce43b8,user_18478c65,244.61,2025-03-09T14:09:42.913666,Legitimate,1,"North Andrew, KY 42634"
txn_d94abe1675,user_88f45892,68.39,2025-03-04T15:34:27.246982,Legitimate,25,FPO AA 05737
txn_a692d2b27e,user_9e277382,65.64,2025-03-08T22:08:41.438020,Legitimate,24,"East Tonyfurt, CT 77118"
txn_a7c08045a3,user_2107010c,260.85,2025-03-12T19:14:31.863866,Legitimate,65,"Manuelhaven, GA 07899"
txn_361231dc52,user_7eb94c7f,57.38,2025-03-09T22:05:51.662047,Legitimate,0,"South Stephanie, IL 40903"
txn_c5f6ecdd12,user_3574f86d,147.99,2025-03-14T13:12:46.257234,Legitimate,15,"West Davidside, TN 62775"
txn_e1021c45ee,user_773ddb25,335.85,2025-03-13T05:07:57.242894,Legitimate,15,"Bellville, IN 50909"
txn_e18b26166a,user_dfde6d9b,149.27,2025-03-01T16:57:17.652911,Legitimate,27,"New Brianbury, CA 61081"
txn_29716d8b25,user_da1b5386,389.64,2025-03-05T23:52:22.955578,Legitimate,27,"Dorseyshire, AS 87290"
txn_580cbc854e,user_d56717a1,119.25,2025-03-05T07:53:38.287753,Legitimate,56,"Wallaceland, VT 02896"
txn_7e1b730e15,user_b178012e,2425.18,2025-03-02T16:42:35.005588,Fraudulent,87,"New Fredberg, ME"
txn_6f54c6e046,user_ac51c1ad,549.18,2025-03-09T00:01:32.544573,Legitimate,60,"Lake Jamie, NC 12996"
txn_095a44dfec,user_7dde70f5,100.12,2025-03-02T21:22:23.840838,Legitimate,54,"Angelaborough, NC 17006"
txn_313b00a306,user_e6ef24f5,162.55,2025-03-04T04:50:23.083748,Legitimate,62,"Brianfurt, DC 11844"
txn_9396a151c3,user_57993fed,115.68,2025-03-04T22:32:59.858537,Legitimate,56,"Simonborough, IA 61419"
txn_3558cb49cd,user_2fa53826,43.34,2025-03-06T10:21:11.648130,Legitimate,52,"Abigailfort, WI 98619"
txn_4d5fd9850e,user_3574f86d,118.86,2025-03-10T15:07:29.335851,Legitimate,26,"West Davidside, TN 62775"
txn_9eedf0480f,user_189bf4db,690.14,2025-03-08T11:56:53.763329,Legitimate,19,"Port Elizabethport, ME 95423"
txn_bd932bf902,user_b435372d,240.93,2025-03-07T01:36:31.394704,Legitimate,32,"Grantshire, VA 51014"
txn_03005eb6a0,user_e81a635b,66.65,2025-03-14T07:25:03.224802,Legitimate,4,"Donaldmouth, LA 64407"
txn_15a2b432ac,user_f58ff54e,277.38,2025-03-07T12:24:06.904161,Legitimate,27,"South Deanna, MO 57658"
txn_f4cacf7c1f,user_b9127240,373.49,2025-03-03T07:59:45.737284,Legitimate,62,"Taylorton, WI 98162"
txn_e1cd6a289e,user_f497f296,170.29,2025-03-08T13:06:35.024136,Legitimate,11,"New Jamesmouth, KY 88140"
txn_d4e949757f,user_8063b83c,678.6,2025-03-13T22:43:02.799088,Legitimate,28,"New Reneetown, IA 59895"
txn_73f76430df,user_08118e89,33.21,2025-03-13T21:21:42.379167,Legitimate,37,"Heathertown, NV 08785"
txn_fe39015287,user_e81a635b,152.88,2025-03-08T18:38:36.274046,Legitimate,27,"Donaldmouth, LA 64407"
txn_96a9121581,user_4b6ab3b0,304.48,2025-03-11T03:27:12.555945,Legitimate,52,"Mendezview, MP 66586"
txn_bd1bd55589,user_88f45892,159.74,2025-03-10T12:01:13.376797,Legitimate,52,FPO AA 05737
txn_7cfeaffc72,user_5fab2704,375.67,2025-03-09T05:46:15.482354,Legitimate,47,"Cynthiamouth, WA 80057"
txn_7ca58af10b,user_52a4e890,3035.57,2025-03-03T06:25:45.947612,Fraudulent,95,"Lake Georgehaven, SD"
txn_d1a9293de3,user_9cae07e1,18.56,2025-03-02T21:52:46.395885,Legitimate,14,"West Jeffrey, CT 31138"
txn_b05fe39715,user_bcc942f4,1220.79,2025-03-14T04:57:43.036628,Fraudulent,80,"Lake Rebeccaville, VA"
txn_acf933aff1,user_d28bbfc0,477.89,2025-03-09T16:03:22.356847,Legitimate,68,"Port Justinville, HI 49397"
txn_14f439b309,user_8e74b703,305.61,2025-03-13T10:59:28.711168,Legitimate,61,"Fowlertown, WV 84569"
txn_93422dc926,user_9cae07e1,29.28,2025-03-10T01:08:46.028219,Legitimate,49,"West Jeffrey, CT 31138"
txn_037d98c408,user_8e74b703,530.53,2025-03-08T06:40:04.349384,Legitimate,28,"Fowlertown, WV 84569"
txn_ea65a89a9d,user_c1227da3,237.28,2025-03-13T02:04:01.380101,Legitimate,32,"West Michael, PW 83267"
txn_5fe2367546,user_af91ffbf,226.09,2025-03-11T10:08:01.441415,Legitimate,35,"Cohenstad, AK 32066"
txn_ba34a15851,user_6cde2d2f,500.64,2025-03-11T16:17:26.371936,Legitimate,28,"West Stevenbury, MP 35335"
txn_1d3b8307f4,user_189bf4db,850.05,2025-03-06T16:48:43.455541,Legitimate,32,"Port Elizabethport, ME 95423"
txn_ca9dcc2532,user_33d6aa45,505.49,2025-03-05T12:40:05.175026,Legitimate,10,"Luismouth, GU 29277"
txn_9487faa429,user_08118e89,91.75,2025-03-06T22:03:14.768938,Legitimate,7,"Heathertown, NV 08785"
txn_e652c374d9,user_d56717a1,3577.35,2025-03-01T16:50:29.969754,Fraudulent,78,"Wallaceland, VT 02896"
txn_919a78c47a,user_88f45892,134.93,2025-03-10T13:54:19.035798,Legitimate,13,FPO AA 05737
txn_4c17f1ded6,user_6e547863,92.06,2025-03-08T23:15:00.623918,Legitimate,23,"Lake Samantha, VI 29865"
txn_1ffaf0fbbf,user_5fab2704,439.34,2025-03-04T00:22:38.269350,Legitimate,10,"Cynthiamouth, WA 80057"
txn_1ba40c84a8,user_4420a8bc,235.06,2025-03-10T18:36:38.771547,Legitimate,56,"Port Ginastad, MH 93559"
txn_4aca82a50e,user_dda5d572,761.59,2025-03-03T16:47:02.114042,Legitimate,64,"Obrienshire, MD 71296"
txn_9e78e54618,user_3ebe5bf9,671.88,2025-03-06T03:38:00.818977,Legitimate,24,"Christopherview, MN 44761"
txn_601272f73e,user_ac51c1ad,289.93,2025-03-11T07:05:57.215504,Legitimate,25,"Lake Jamie, NC 12996"
txn_adfa5666ef,user_9843f207,61.52,2025-03-03T01:37:22.727048,Legitimate,45,"West Michaelfurt, KY 11378"
txn_ee53dd2bcf,user_af91ffbf,248.15,2025-03-05T23:24:41.068683,Legitimate,13,"Cohenstad, AK 32066"
txn_8e61bc0e9e,user_8e74b703,654.24,2025-03-03T06:18:46.361837,Legitimate,51,"Fowlertown, WV 84569"
txn_e4456b1365,user_f497f296,314.21,2025-03-13T01:38:08.019324,Legitimate,21,"New Jamesmouth, KY 88140"
txn_136306b3a0,user_b178012e,412.69,2025-03-14T05:39:57.141347,Legitimate,46,"Stephenborough, NV 59616"
txn_d1e13256cc,user_18478c65,403.04,2025-03-07T01:03:27.261315,Legitimate,34,"North Andrew, KY 42634"
txn_84c729d7d3,user_e200ac49,674.94,2025-03-08T20:51:30.857626,Legitimate,56,APO AE 21272
txn_4fdee2cd4b,user_d28bbfc0,352.18,2025-03-04T22:04:22.687244,Legitimate,47,"Port Justinville, HI 49397"
txn_b95e683ad8,user_e40188ff,4978.22,2025-03-04T02:35:31.410094,Fraudulent,71,"Brianchester, SC"
txn_07c19bc1f9,user_c2799675,78.39,2025-03-01T05:07:27.843531,Legitimate,54,"West Sherryview, LA 10719"
txn_2aa17340ed,user_c947ef51,102.1,2025-03-04T08:08:44.386037,Legitimate,52,"Nicolehaven, WV 24378"
txn_ca1299597e,user_0591101e,286.19,2025-03-05T05:56:18.694902,Legitimate,30,"Coreyside, OK 70131"
txn_5c5314d7f8,user_97cca8c8,215.58,2025-03-10T09:39:41.705319,Legitimate,52,"Patrickland, AR 16503"
txn_f26a0f5376,user_851fbd38,2404.9,2025-03-08T11:27:53.912846,Fraudulent,74,"Robertstad, TX"
txn_72270802f9,user_4f9219f6,386.09,2025-03-13T03:10:38.328108,Legitimate,27,"Melissaview, WA 08917"
txn_d08e9f1dbd,user_b435372d,507.88,2025-03-14T13:06:48.088939,Legitimate,38,"Grantshire, VA 51014"
txn_e33ec575c5,user_7e98129d,357.71,2025-03-03T02:41:50.565231,Legitimate,28,"Brewerhaven, DC 84558"
txn_2f22105de4,user_e81a635b,201.57,2025-03-11T01:51:34.861505,Legitimate,63,"Donaldmouth, LA 64407"
txn_ba70bab98a,user_dfde6d9b,76.18,2025-03-09T09:10:18.475188,Legitimate,7,"New Brianbury, CA 61081"
txn_e182cd320b,user_64e2a309,760.88,2025-03-01T20:50:12.920336,Legitimate,47,"Griffithton, VT 02544"
txn_dfdbf96f1d,user_dd305fbb,54.53,2025-03-06T21:02:20.266109,Legitimate,11,"Sparksville, GA 53472"
txn_56b02b952e,user_f2685de0,206.97,2025-03-12T04:52:11.417201,Legitimate,32,"Spearsburgh, KY 17734"
txn_b1a313d09a,user_d8f80281,648.7,2025-03-04T21:54:39.799696,Legitimate,58,"Robinsonton, NV 28691"
txn_1eb768c8a5,user_a1ba7f0c,107.46,2025-03-09T23:55:56.056806,Legitimate,69,"North Linda, MT 93425"
txn_e8c15f3696,user_ac51c1ad,472.15,2025-03-13T07:10:45.529630,Legitimate,22,"Lake Jamie, NC 12996"
txn_35e69e88aa,user_c56bf3e8,343.1,2025-03-12T04:13:39.346109,Legitimate,41,"Perezfort, MS 04591"
txn_1eb9f329c4,user_4c3ba68e,407.22,2025-03-11T18:20:41.767843,Legitimate,53,"North Michael, IA 10547"
txn_ae963cb5a9,user_64e2a309,1384.16,2025-03-01T07:42:56.903946,Fraudulent,89,"Griffithton, VT 02544"
txn_26925488fa,user_7dde70f5,105.07,2025-03-07T14:12:21.443447,Legitimate,6,"Angelaborough, NC 17006"
txn_08f36d147a,user_1982dae2,494.33,2025-03-08T14:21:18.207780,Legitimate,59,"West Kyle, TN 20314"
txn_c7cda3527e,user_97cca8c8,368.58,2025-03-04T16:42:51.314261,Legitimate,36,"Patrickland, AR 16503"
txn_6b07f0de75,user_dda5d572,4698.45,2025-03-04T18:18:53.335029,Fraudulent,97,"Nathanhaven, WA"
txn_a0f5dcefa7,user_7dde70f5,77.25,2025-03-03T07:02:21.822511,Legitimate,50,"Angelaborough, NC 17006"
txn_9d63af051b,user_e200ac49,503.84,2025-03-03T14:41:51.867547,Legitimate,13,APO AE 21272
txn_d822c808ec,user_a7341d7d,190.47,2025-03-13T19:22:38.363045,Legitimate,51,"Kentside, FL 58210"
txn_a92a3aa954,user_64e2a309,694.16,2025-03-12T03:45:24.185835,Legitimate,67,"Griffithton, VT 02544"
txn_3d67b1e3af,user_40903e99,100.76,2025-03-14T02:44:21.831268,Legitimate,47,"Fullermouth, KY 61682"
txn_a2e10d104f,user_dda5d572,280.0,2025-03-03T07:51:40.686555,Legitimate,0,"Obrienshire, MD 71296"
txn_1ce01abc47,user_ac51c1ad,339.65,2025-03-01T21:23:49.546232,Legitimate,59,"Lake Jamie, NC 12996"
txn_ef0c4cefd8,user_b9127240,296.34,2025-03-02T11:52:06.666135,Legitimate,47,"Taylorton, WI 98162"
txn_e8acdcaf19,user_8063b83c,480.69,2025-03-05T04:43:09.659242,Legitimate,44,"New Reneetown, IA 59895"
txn_ae2aa4cdf7,user_0c9ba5cc,679.76,2025-03-10T20:59:25.821900,Legitimate,54,"West Elizabethside, MT 33435"
txn_1374474c10,user_ac35853f,644.88,2025-03-12T07:53:17.472989,Legitimate,40,"Bradleytown, TN 11602"
txn_78a0e25918,user_4bbb6878,3477.3,2025-03-04T02:36:03.070785,Fraudulent,85,"Lake Michaelland, WI"
txn_e18bfe40bb,user_5fab2704,505.6,2025-03-10T01:16:08.466277,Legitimate,69,"Cynthiamouth, WA 80057"
txn_8d5bbf65df,user_f58ff54e,471.52,2025-03-04T00:06:03.595484,Legitimate,1,"South Deanna, MO 57658"
txn_dd101350ec,user_2e7182e2,9.44,2025-03-12T08:24:02.205843,Legitimate,0,"North Deanna, AZ 67301"
txn_93f2e7ebd5,user_4c3ba68e,182.95,2025-03-06T14:12:59.427578,Legitimate,30,"North Michael, IA 10547"
txn_8c537d3a80,user_da1b5386,3867.13,2025-03-04T06:58:44.882082,Fraudulent,72,"East James, MH"
txn_a3456ec00a,user_c1227da3,342.15,2025-03-04T00:34:04.719952,Legitimate,24,"West Michael, PW 83267"
txn_f977989431,user_0591101e,394.0,2025-03-11T01:30:20.687989,Legitimate,67,"Coreyside, OK 70131"
txn_726a971f2b,user_295abf0c,658.06,2025-03-06T05:15:27.141184,Legitimate,3,"Jennifermouth, KS 19080"
txn_314a336096,user_4bbb6878,4279.53,2025-03-10T16:25:21.758648,Fraudulent,89,"Lake Brianport, MO"
txn_d0a7e499fe,user_e6ef24f5,3895.36,2025-03-12T07:41:18.535332,Fraudulent,95,"South Paul, LA"
txn_312e23b884,user_8063b83c,4291.78,2025-03-05T17:21:33.515293,Fraudulent,90,"Maciaschester, FL"
txn_63114316f5,user_4f98a4d4,180.69,2025-03-13T17:18:30.477080,Legitimate,56,"Morgantown, MD 21170"
txn_82f696eb61,user_bcfc3c6e,432.79,2025-03-10T00:57:16.049700,Legitimate,23,"Randolphville, MT 47354"
txn_bd695b6c49,user_2107010c,648.38,2025-03-04T03:26:13.515672,Legitimate,50,"Manuelhaven, GA 07899"
txn_294c586b0f,user_d8f80281,189.55,2025-03-04T23:01:29.252023,Legitimate,31,"Robinsonton, NV 28691"
txn_70968298a0,user_3574f86d,146.28,2025-03-11T15:46:38.409561,Legitimate,8,"West Davidside, TN 62775"
txn_8c89c0eea2,user_4c3ba68e,133.87,2025-03-02T19:34:45.346172,Legitimate,32,"North Michael, IA 10547"
txn_ab4843f0e7,user_3574f86d,162.79,2025-03-12T17:45:42.957910,Legitimate,3,"West Davidside, TN 62775"
txn_e555c23335,user_a4ccf4d8,717.08,2025-03-08T06:41:24.258358,Legitimate,48,"Chelseaberg, CT 01017"
txn_a1ba28bed2,user_2fa53826,92.53,2025-03-07T01:23:02.801084,Legitimate,52,"Abigailfort, WI 98619"
txn_2477b33963,user_e81a635b,166.39,2025-03-08T13:17:28.879163,Legitimate,58,"Donaldmouth, LA 64407"
txn_e5728faf09,user_40903e99,100.87,2025-03-06T06:36:28.708965,Legitimate,5,"Fullermouth, KY 61682"
txn_c5ee83fef1,user_4420a8bc,132.75,2025-03-02T06:40:49.732878,Legitimate,9,"Port Ginastad, MH 93559"
txn_1bc681ba31,user_b435372d,555.78,2025-03-08T02:38:32.208658,Legitimate,21,"Grantshire, VA 51014"
txn_569c9e2f5e,user_8063b83c,399.05,2025-03-03T15:38:05.447505,Legitimate,15,"New Reneetown, IA 59895"
txn_d32fb2c8e3,user_187e4ced,234.44,2025-03-08T01:45:01.444418,Legitimate,12,"Lake Lisachester, SD 69825"
txn_c097033660,user_da1b5386,453.71,2025-03-09T19:47:03.101765,Legitimate,38,"Dorseyshire, AS 87290"
txn_f3e87115fc,user_9e277382,46.9,2025-03-05T02:29:46.546021,Legitimate,28,"East Tonyfurt, CT 77118"
txn_6a6bab93fd,user_dd305fbb,64.66,2025-03-06T05:35:23.959378,Legitimate,38,"Sparksville, GA 53472"
txn_57fa9837a9,user_7eb94c7f,100.46,2025-03-09T21:36:53.511403,Legitimate,66,"South Stephanie, IL 40903"
txn_51ff3dcd7e,user_3ebe5bf9,460.26,2025-03-04T21:58:45.628968,Legitimate,60,"Christopherview, MN 44761"
txn_c4c05d89da,user_52a4e890,510.93,2025-03-05T01:15:57.549283,Legitimate,36,"Troyland, MI 56044"
txn_7921137bf6,user_a640ea69,310.57,2025-03-02T09:29:36.239625,Legitimate,39,"Coltonbury, IN 31534"
